196,Cicuto,null,null,null
197,Cienaga,null,null,null
198,Cienaga de Oro,null,null,null
199,Cimitarra,null,null,null
200,Circasia,null,null,null
201,Cisneros,null,null,null
202,Clemencia,null,null,null
203,Cocorna,null,null,null
204,Coello,null,null,null
205,Cogua,null,null,null
206,Colombia,null,null,null
207,Colon,null,null,null
208,Colon (Genova),null,null,null
209,Coloso (Ricaurte),null,null,null
210,Combita,null,null,null
211,Concepcion,null,null,null
212,Concordia,null,null,null
213,Condoto,null,null,null
214,Confines,null,null,null
215,Consaca,null,null,null
216,Contadero,null,null,null
217,Contratacion,null,null,null
218,Convencion,null,null,null
219,Copacabana,null,null,null
220,Coper,null,null,null
221,Cordoba,null,null,null
222,Corinto,null,null,null
223,Coromoro,null,null,null
224,Corozal,null,null,null
225,Corrales,null,null,null
226,Cota,null,null,null
227,Cotorra,null,null,null
228,Covarachia,null,null,null
229,Coyaima,null,null,null
230,Cravo Norte,null,null,null
231,Cuaspud (Carlosama),null,null,null
232,Cubar,null,null,null
233,Cubarral,null,null,null
234,Cucaita,null,null,null
235,Cucunuba,null,null,null
236,Ccuta,null,null,null
237,Cucutilla,null,null,null
238,Cuitiva,null,null,null
239,Cumaral,null,null,null
240,Cumaribo,null,null,null
241,Cumbal,null,null,null
242,Cumbitara,null,null,null
243,Cunday,null,null,null
244,Curillo,null,null,null
245,Curiti,null,null,null
246,Curumani,null,null,null
247,Dabeiba,null,null,null
248,Dagua,null,null,null
249,Dibulla,null,null,null
250,Distraccion,null,null,null
251,Dolores,null,null,null
252,Don Matias,null,null,null
253,Dos Quebradas,null,null,null
254,Duitama,null,null,null
255,Durania,null,null,null
256,Ebejico,null,null,null
257,El aguila,null,null,null
258,El Bagre,null,null,null
259,El Banco,null,null,null
260,El Cairo,null,null,null
261,El Calvario,null,null,null
262,El Carmen,null,null,null
263,El Carmen de Bolivar,null,null,null
264,El Castillo,null,null,null
265,El Cerrito,null,null,null
266,El Charco,null,null,null
267,El Cocuy,null,null,null
268,El Colegio,null,null,null
269,El Copey,null,null,null
270,El Doncello,null,null,null
